Collection,Type,Original English label,Japanese,English translation,Quality,Origin,Effect,Translation status,Audit note,Source order
arms,Sword,Opus Blade,童子切安綱,Dōjigiri Yasutsuna (Dōji Cutter),10,Japan,Leadership + 10,interpretive,,0
arms,Sword,Crescent Edge,三日月宗近,Mikazuki Munechika (Crescent Moon),10,Japan,Leadership + 10,interpretive,,1
arms,Sword,Peacebringer,大包平,Ōkanehira,9,Japan,Leadership + 9,interpretive,,2
arms,Sword,Moonlight Blade,数珠丸恒次,Juzumaru Tsunetsugu (Rosary Sword),9,Japan,Leadership + 9,interpretive,,3
arms,Sword,Exquisite Blade,大典太光世,Ōtenta Mitsuyo,8,Japan,Leadership + 8,interpretive,,4
arms,Sword,Onimaru Blade,鬼丸国綱,Onimaru Kunitsuna (Demon Sword),8,Japan,Leadership + 8,interpretive,,5
arms,Sword,Flawless Blade,大般若長光,Daihannya Nagamitsu,7,Japan,Leadership + 7,interpretive,,6
arms,Sword,Aurora Edge,日光一文字,Nikkō Ichimonji,7,Japan,Leadership + 7,interpretive,,7
arms,Sword,Military Edge,宗三左文字,Sōza Samonji,6,Japan,Leadership + 6,interpretive,,8
arms,Sword,Bone Eater,骨喰吉光,Honebami Yoshimitsu (Bone Devourer),6,Japan,Leadership + 6,interpretive,,9
arms,Sword,Demon Cutter,鬼切安綱,Onikiri Yasutsuna (Demon Cutter),5,Japan,Leadership + 5,interpretive,,10
arms,Sword,Lotus Sutra,妙法蓮華経,Lotus Sutra,5,Japan,Leadership + 5,needs-review,The Japanese text is a Buddhist scripture title although the source places it among swords.,11
arms,Sword,Sunlight Blade,日光助真,Nikkō Sukezane,4,Japan,Leadership + 4,interpretive,,12
arms,Sword,Great Sword,へし切長谷部,Heshikiri Hasebe (Press-Cutter),4,Japan,Leadership + 4,interpretive,,13
arms,Sword,Avatar's Edge,熊野三所権現,Three Kumano Manifestations (Kumano Sansho Gongen),3,Japan,Leadership + 3,needs-review,A religious title rather than an identifiable sword name in the supplied text.,14
arms,Sword,Thunder Blade,妙見大菩薩,Great Bodhisattva Myōken,3,Japan,Leadership + 3,needs-review,A religious title rather than an identifiable sword name in the supplied text.,15
arms,Sword,Ceremonial Sword,鞍切景秀,Kuragiri Kagehide (Saddle Cutter),2,Japan,Leadership + 2,interpretive,,16
arms,Sword,Forged Blade,雷切,Raikiri (Lightning Cutter),2,Japan,Leadership + 2,interpretive,,17
arms,Sword,Steel Blade,生駒光忠,Ikoma Mitsutada,1,Japan,Leadership + 1,interpretive,,18
arms,Sword,Iron Sword,稲葉江,Inaba Gō,1,Japan,Leadership + 1,interpretive,,19
arms,Spear,Tonbogiri,蜻蛉切,Tonbogiri (Dragonfly Cutter),10,Japan,Skill[Counter 1],interpretive,,20
arms,Spear,Magnum Spear,呑取,Nomitori (Swallowing/Capturing),10,Japan,Skill[Counter 1],needs-review,The proper name 呑取 has an uncertain reading and meaning.,21
arms,Spear,Hachiman,皆朱槍,All-Vermilion Spear,9,Japan,Skill[Counter 1],interpretive,,22
arms,Spear,Hero's Spear,助光銘薙刀,Sukemitsu-Inscribed Naginata,9,Japan,Skill[Counter 1],interpretive,,23
arms,Spear,Sunset Spear,片鎌槍,Single-Sickle Spear,8,Japan,Skill[Counter 1],interpretive,,24
arms,Spear,Vanguard's Spear,瓶通槍,Bottle-Piercing Spear,8,Japan,Skill[Counter 1],needs-review,The name 瓶通槍 is obscure; literal reading only.,25
arms,Spear,Cross Spear,十文字槍,Cross-Shaped Spear,7,Japan,Skill[Counter 1],interpretive,,26
arms,Spear,Inscribed Spear,長光銘薙刀,Nagamitsu-Inscribed Naginata,7,Japan,Skill[Counter 1],interpretive,,27
arms,Spear,Vinewrap Spear,笹穂槍,Bamboo-Leaf Spear,6,Japan,Skill[Counter 1],interpretive,,28
arms,Spear,Genius' Spear,来国俊銘薙刀,Rai Kunitoshi-Inscribed Naginata,6,Japan,Skill[Counter 1],interpretive,,29
arms,Spear,Vigilant Spear,景光銘薙刀,Kagemitsu-Inscribed Naginata,5,Japan,Skill[Counter 1],interpretive,,30
arms,Spear,Grassland Spear,菊地槍,Kikuchi Spear,5,Japan,Skill[Counter 1],interpretive,,31
arms,Spear,Plover Spear,千鳥槍,Plover Spear,4,Japan,Skill[Counter 1],interpretive,,32
arms,Spear,Stalwart Spear,八幡大菩薩,Great Bodhisattva Hachiman,4,Japan,Skill[Counter 1],needs-review,A religious title; spear identification is not independently established.,33
arms,Spear,Watchman's Spear,沢瀉槍,Arrowhead-Plant Spear,3,Japan,Skill[Counter 1],interpretive,,34
arms,Spear,Ceremonial Spear,片山一文字,Katayama Ichimonji,3,Japan,Skill[Counter 1],needs-review,This looks like a sword name; its identification as a spear needs checking.,35
arms,Spear,Tribal Spear,当麻銘薙刀,Taima-Inscribed Naginata,2,Japan,Skill[Counter 1],interpretive,,36
arms,Spear,Nameless Spear,法城寺,Hōjōji,2,Japan,Skill[Counter 1],interpretive,,37
arms,Spear,Warrior's Spear,黒漆柄薙刀,Black-Lacquered-Haft Naginata,1,Japan,Skill[Counter 1],interpretive,,38
arms,Spear,Iron Spear,無銘長巻,Unsigned Nagamaki,1,Japan,Skill[Counter 1],interpretive,,39
arms,Musket,Matchlock,種子島筒,Tanegashima Matchlock,10,Japan,can useDragoon troops,interpretive,,40
arms,Musket,Echo Musket,堺筒,Sakai Musket,9,Japan,can useDragoon troops,interpretive,,41
arms,Musket,Quickfire Musket,国友筒,Kunitomo Musket,8,Japan,can useDragoon troops,interpretive,,42
arms,Musket,Flawless Musket,紀州筒,Kishū Musket,7,Japan,can useDragoon troops,interpretive,,43
arms,Musket,Lucky Musket,薩摩筒,Satsuma Musket,6,Japan,can useDragoon troops,interpretive,,44
arms,Musket,Imported Musket,備前筒,Bizen Musket,5,Japan,can useDragoon troops,interpretive,,45
arms,Musket,Polished Musket,日野筒,Hino Musket,4,Japan,can useDragoon troops,interpretive,,46
arms,Musket,Arquebus,仙台筒,Sendai Musket,3,Japan,can useDragoon troops,interpretive,,47
arms,Musket,Steel Musket,阿波筒,Awa Musket,2,Japan,can useDragoon troops,interpretive,,48
arms,Musket,Simple Musket,米沢筒,Yonezawa Musket,1,Japan,can useDragoon troops,interpretive,,49
arms,Rifle,Masterwork Rifle,管打式銃,Tube-Primed Gun,10,Europe,can useDragoon troops,needs-review,The historical firing mechanism implied by 管打式 needs checking.,50
arms,Rifle,Resounding Rifle,雷管式銃,Percussion-Cap Gun,10,Europe,can useDragoon troops,interpretive,,51
arms,Rifle,Flawless Rifle,燧石式銃,Flintlock Gun,9,Europe,can useDragoon troops,interpretive,,52
arms,Rifle,Recoilless Rifle,雷粉式銃,Flash-Powder Gun,9,Europe,can useDragoon troops,needs-review,The mechanism 雷粉式銃 is uncertain.,53
arms,Rifle,Fortune Rifle,ピン打式銃,Pin-Fire Gun,8,Europe,can useDragoon troops,interpretive,,54
arms,Rifle,Western Rifle,洋式銃,Western-Style Firearm,8,Europe,can useDragoon troops,interpretive,,55
arms,Rifle,Korean Rifle,朝鮮短筒,Korean Short Gun,7,Europe,can useDragoon troops,interpretive,,56
arms,Rifle,Twin-barrel Rifle,二連発手中筒,Double-Shot Handgun,7,Europe,can useDragoon troops,interpretive,,57
arms,Rifle,Dirk Rifle,匕首鉄砲,Dagger Gun,6,Europe,can useDragoon troops,interpretive,,58
arms,Rifle,Short Rifle,脇差鉄砲,Wakizashi Gun,6,Europe,can useDragoon troops,interpretive,,59
arms,Pistol,Horseback Pistol,馬上筒,Mounted Gun,10,Europe,can useDragoon troops,interpretive,,60
